Sub category 1:	sub category 2:	sub category 3:	ontology ID	label	parent class	exact synonym	exact match	close match	definition	comment	editors note	broad synonym	narrow synonym	cross refference	BCODMO master paramater	Entity subset	category subset
fluorine	fluorine isotope	fluorine-18 isotope	CHEBI:36939	fluorine-18 isotope	fluorine isotope											http://bcodmo/sm#chemistry	http://bcodmo/sm#element
fluorine	fluorine isotope	fluorine-19 isotope	CHEBI:36940	fluorine-19 isotope	fluorine isotope											http://bcodmo/sm#chemistry	http://bcodmo/sm#element
fluorine	fluorine valence		BSM:0200044	fluorine valence	fluorine						Possibly add to CHEBI.					http://bcodmo/sm#chemistry	http://bcodmo/sm#element
fluorine	fluorine valence	fluorine(0)	CHEBI:30239	fluorine(0)	fluorine valence											http://bcodmo/sm#chemistry	http://bcodmo/sm#element
fluorine	fluorine valence	fluoride	CHEBI:17051	fluoride	fluorine valence											http://bcodmo/sm#chemistry	http://bcodmo/sm#element
fluorine	fluorine valence	fluorine(1+)	CHEBI:30240	fluorine(1+)	fluorine valence											http://bcodmo/sm#chemistry	http://bcodmo/sm#element
fluorine	difluorine		CHEBI:30236	difluorine	fluorine											http://bcodmo/sm#chemistry	http://bcodmo/sm#element
fluorine	difluorine	difluoride(.1-)	CHEBI:30238	difluoride(.1-)	difluorine											http://bcodmo/sm#chemistry	http://bcodmo/sm#element
fluorine	difluorine	difluorine(.1+)	CHEBI:30237	difluorine(.1+)	difluorine											http://bcodmo/sm#chemistry	http://bcodmo/sm#element
gadolinium			CHEBI:37285	gadolinium												http://bcodmo/sm#chemistry	http://bcodmo/sm#element
gadolinium	gadolinium isotope		CHEBI:33375	gadolinium isotope	gadolinium											http://bcodmo/sm#chemistry	http://bcodmo/sm#element
gadolinium	gadolinium valence		BSM:0200045	gadolinium valence	gadolinium						Possibly add to CHEBI.					http://bcodmo/sm#chemistry	http://bcodmo/sm#element
gadolinium	gadolinium valence	gadolinium(2+)	CHEBI:37286	gadolinium(2+)	gadolinium valence											http://bcodmo/sm#chemistry	http://bcodmo/sm#element
gadolinium	gadolinium valence	gadolinium(3+)	CHEBI:49618	gadolinium(3+)	gadolinium valence											http://bcodmo/sm#chemistry	http://bcodmo/sm#element
gadolinium	gadolinium valence	gadolinium(4+)	CHEBI:37294	gadolinium(4+)	gadolinium valence											http://bcodmo/sm#chemistry	http://bcodmo/sm#element
gallium			CHEBI:155920	gallium												http://bcodmo/sm#chemistry	http://bcodmo/sm#element
